1411	6750	xiaoqi	1.3.2	1	xiaoqi	Cooper	3	5	3	3	9	6	6	0	QHD	0	3000	
1410	5473	xiaoqi	3.0.1	0	xiaoqi	Default	5	4	5	7	1	9	6	5	WVGA	2000	3000	
941	5665	EMUI	2.3.4	0	xiaoting	Default	1	3	3	6	0	3	9	4	WVGA	300	100	
1415	1728	zhuanjia	2.1.3	1	zhouming	Default	2	3	2	9	4	9	7	8	QHD	1000	200	
942	5618	EMUI	1.2.3	1	zhouming	Consolos	1	2	2	7	3	5	0	8	WVGA	1000	1000	
1414	1759	husheng	2.1.3	0	xiaoqi	Consolos	4	1	4	6	5	4	5	3	WUXGA	3000	500	
1413	6429	EMUI	2.2.2	0	EMUI	NewRoman	5	3	0	0	4	2	8	6	WVGA	300	100	
940	2155	xiaoting	1.3.2	0	husheng	NewRoman	1	1	3	9	4	7	7	0	QHD	2000	1000	
1412	6565	xiaoqi	1.2.3	0	xiaoting	Cooper	5	5	3	1	6	5	4	6	FHD	500	3000	
945	2954	xiaoqi	3.0.1	1	zhouming	Consolos	3	2	4	2	9	2	7	1	WVGA	2000	2000	
1419	4503	yangcheng	2.3.4	1	zhuanjia	Consolos	1	3	4	1	6	8	4	2	FHD	100	3000	
946	6161	zhuanjia	2.1.3	1	EMUI	Cooper	1	2	3	9	5	4	9	9	HD	3000	1000	
1418	8999	EMUI	1.2.3	1	zhouming	Cooper	3	3	3	3	9	4	1	2	FHD	300	300	
943	6003	EMUI	1.3.2	1	husheng	Default	2	0	0	3	0	2	3	3	FWVGA	0	0	
1417	9103	xiaoting	2.1.3	1	zhuanjia	Consolos	0	4	1	5	9	1	1	4	FWVGA	0	1000	
944	2029	xiaoting	2.2.2	1	zhuanjia	NewRoman	3	3	3	5	8	4	9	8	WVGA	0	0	
1416	9513	xiaoting	1.3.2	0	xiaoqi	Cooper	0	3	2	1	1	5	8	8	FWVGA	100	200	
949	2892	yangcheng	2.3.4	0	husheng	Default	2	0	2	9	1	7	6	7	WUXGA	200	3000	
947	4867	yangcheng	2.2.2	0	zhouming	Consolos	1	2	5	0	0	4	4	6	WUXGA	0	0	
948	8519	yangcheng	1.2.0	0	xiaoting	Cooper	0	0	4	1	9	3	1	9	HD	0	3000	
531	8764	EMUI	1.2.0	0	xiaoting	Consolos	5	2	1	9	1	1	9	6	WUXGA	300	200	
530	2053	EMUI	1.2.3	0	EMUI	Cooper	2	2	1	1	9	4	6	8	HD	400	100	
2951	1375	zhuanjia	2.3.4	1	zhuanjia	Cooper	3	0	0	5	5	8	4	3	HD	2000	400	
2950	2948	xiaoting	1.2.3	1	zhuanjia	Cooper	4	2	3	1	7	2	0	3	WUXGA	500	0	
2953	3294	zhouming	2.1.3	0	yangcheng	NewRoman	4	4	2	6	7	4	2	5	FWVGA	2000	200	
1821	2561	xiaoqi	2.3.4	1	yangcheng	Cooper	5	1	4	9	6	1	2	1	QHD	100	0	
535	3110	zhouming	1.2.3	1	husheng	Consolos	3	0	0	2	0	3	6	7	WUXGA	300	2000	
2952	1339	xiaoting	2.3.4	1	husheng	Cooper	1	2	4	6	5	5	2	3	FHD	100	300	
1822	4404	zhouming	1.2.3	0	zhuanjia	Consolos	1	2	1	2	6	2	3	0	FHD	0	3000	
534	2820	EMUI	1.2.3	1	zhuanjia	Default	1	3	4	7	1	2	4	0	WUXGA	400	200	
2955	8585	xiaoqi	1.2.3	0	husheng	Default	5	1	3	6	5	1	9	5	WUXGA	100	100	
533	9618	xiaoting	1.2.0	0	yangcheng	NewRoman	5	1	3	0	8	7	0	6	FHD	500	0	
2954	1987	xiaoqi	2.1.3	0	EMUI	NewRoman	0	4	5	6	3	0	2	3	WUXGA	100	1000	
1820	1126	xiaoqi	1.2.3	1	zhuanjia	Cooper	4	2	4	7	7	3	7	5	FHD	100	3000	
